"Species","Rank","Factor Score","Revenue","CA Revenue","OR Revenue","WA Revenue","Assessed Last Cycle","Management Group"
"Petrale sole",1,10,36051.9,10026.9,25385,640.1,0,"species specific"
"Dover sole",2,9.41723708729691,19559.5,5501.8,13596.2,461.5,0,"species specific"
"Sablefish",3,8.84005814111422,78876.1,28325.8,37950.2,12600.1,-2,"species specific"
"Lingcod",4,8.7807604640898,10029.9,3025.3,6753.8,250.8,0,"species specific"
"Shortspine thornyhead",5,8.59658858102807,8267.3,7110.1,1089.4,67.8,0,"species specific"
"Widow rockfish",6,7.92975675228797,30347.1,1326.6,24894.6,4126,-2,"species specific"
"Vermilion/Sunset rockfish",7,7.70448403422199,3241.6,3234.8,6.7,0,0,"minor shelf rockfish"
"Bocaccio",8,7.68755459494802,3184.5,3117.4,61.4,5.7,0,"species specific"
"Black rockfish",9,7.57961651614769,2843.4,0,2843.4,0,0,"species specific"
"Canary rockfish",10,7.42728133749232,2423.2,1154.7,1114.7,153.8,0,"species specific"
"Longnose skate",11,7.21873513372319,1946.8,178.3,1693.2,75.3,0,"species specific"
"Chilipepper",12,6.90658931948644,10371.4,10218.2,153.1,0.2,-2,"species specific"
"Yellowtail rockfish",13,6.73719797900401,8682.4,1019.6,5964.6,1698.3,-2,"species specific"
"Pacific ocean perch",14,6.70402034084497,1134,1.4,1081.8,50.7,0,"species specific"
"Rex sole",15,6.59804682488078,1014.5,242.2,761.2,11.2,0,"other flatfish"
"Blackgill rockfish",16,6.39380964660153,818.6,814.1,4.4,0.1,0,"minor slope rockfish"
"Darkblotched rockfish",17,6.31068198555668,750.2,131.5,583.5,35.2,0,"species specific"
"Big skate",18,5.87593782271566,475,53.1,380.8,41.1,0,"species specific"
"China rockfish",19,5.87374694894077,473.9,0,473.9,0,0,"minor nearshore rockfish"
"Copper rockfish",20,5.77457627886858,427,327.4,99.6,0,0,"minor nearshore rockfish"
"Pacific sanddab",21,5.74386669806886,413.4,332.5,80.9,0,0,"other flatfish"
"Longspine thornyhead",22,5.69931158786995,394.5,338.5,54.5,1.4,0,"species specific"
"Bank rockfish",23,5.46007631505014,306.7,301.7,4.8,0.1,0,"minor slope rockfish"
"Greenspotted rockfish",24,5.31160981771672,262.3,259.2,3.1,0,0,"minor shelf rockfish"
"Redbanded rockfish",25,5.29225426951886,257,92.6,121.4,43,0,"minor slope rockfish"
"Blue/Deacon rockfish",26,5.14977543267081,221.2,0.1,221.1,0,0,"minor nearshore rockfish"
"Silvergray rockfish",27,5.02199480607459,193.3,0.5,174.8,18,0,"minor shelf rockfish"
"Arrowtooth flounder",28,5.0164896263347,192.2,6.8,173.6,11.8,0,"species specific"
"English sole",29,4.93965527818965,177.2,92.7,82.8,1.8,0,"species specific"
"California scorpionfish",30,4.65747982580721,131.6,131.6,0,0,0,"species specific"
"Pacific cod",31,4.47598637398801,108.6,6.9,100.1,1.6,0,"species specific"
"Starry rockfish",32,4.40385448749411,100.6,100.6,0,0,0,"minor shelf rockfish"
"Yellowmouth rockfish",33,3.92939031905512,60.7,0.2,60.5,0,0,"minor slope rockfish"
"Splitnose rockfish",34,3.92890355358601,60.7,10.2,48.6,1.9,0,"minor slope rockfish"
"Quillback rockfish",35,3.71396540962166,48.3,0,48.3,0,0,"minor nearshore rockfish"
"Aurora rockfish",36,3.49684540408275,38.2,19.8,17.7,0.7,0,"minor slope rockfish"
"Greenstriped rockfish",37,3.42225980032768,35.3,16,17.3,2,0,"minor shelf rockfish"
"Redstripe rockfish",38,3.27491946822963,30.1,0,29.2,0.9,0,"minor shelf rockfish"
"Rougheye/Blackspotted rockfish",39,3.26196446112906,225.5,37.2,137.9,50.4,-2,"minor slope rockfish"
"Shortraker rockfish",40,3.09431082316724,24.7,0.9,15,8.9,0,"minor slope rockfish"
"Sharpchin rockfish",41,3.0837184573932,24.4,0.3,23.9,0.3,0,"minor slope rockfish"
"Pacific spiny dogfish",42,2.80247488358798,17.9,16.2,1.4,0.3,0,"species specific"
"Stripetail rockfish",43,2.58474515014331,14.1,1.8,12.3,0,0,"minor shelf rockfish"
"Flathead sole",44,2.56472410878724,13.7,0,13.7,0,0,"other flatfish"
"Rosethorn rockfish",45,2.36171242411678,10.9,1.6,4.5,4.8,0,"minor shelf rockfish"
"Cowcod",46,2.12186231862118,8.3,8,0.3,0,0,"minor shelf rockfish"
"Squarespot rockfish",47,1.86770813080222,6.1,6.1,0,0,0,"minor shelf rockfish"
"Yelloweye rockfish",48,0.0515922866645831,6.8,0.7,2.9,3.2,-2,"species specific"
"Cabezon",49,0,0,0,0,0,0,"other groundfish"
"Kelp greenling",49,0,0,0,0,0,0,"other groundfish"
