"Species","Rank","Factor Score","Tribal Score","Revenue","CA Revenue","OR Revenue","WA Revenue","Assessed Last Cycle","Management Group"
"Petrale sole",1,10,2,1337056.7,0,0,1337056.7,0,"species specific"
"Sablefish",2,9.77253178403605,2,6849059.9,0,0,6849059.9,-2,"species specific"
"Pacific cod",3,9.18291153467865,3,131922.9,0,0,131922.9,0,"species specific"
"Lingcod",4,8.99316934260622,2,264178,0,0,264178,0,"species specific"
"Shortspine thornyhead",5,7.73034378926273,2,34559.9,0,0,34559.9,0,"species specific"
"Canary rockfish",6,7.71364576929191,3,12375.9,0,0,12375.9,0,"species specific"
"Redbanded rockfish",7,7.45470387124563,2,22169.8,0,0,22169.8,0,"minor slope rockfish"
"Dover sole",8,7.39263015626345,1.5,33074.8,0,0,33074.8,0,"species specific"
"Shortraker rockfish",9,7.16817309712982,3,5140.2,0,0,5140.2,0,"minor slope rockfish"
"Yellowtail rockfish",10,7.07637440686455,2,89070.6,0,0,89070.6,-2,"species specific"
"Rougheye/Blackspotted rockfish",11,6.95501472971953,3,26948.9,0,0,26948.9,-2,"minor slope rockfish"
"Rex sole",12,6.92884504419788,2,9504.1,0,0,9504.1,0,"other flatfish"
"Longnose skate",13,6.85786205835242,2,8477.3,0,0,8477.3,0,"species specific"
"Yelloweye rockfish",14,6.50350999214463,3,13022.9,0,0,13022.9,-2,"species specific"
"Big skate",15,5.79704921194525,2,1534.7,0,0,1534.7,0,"species specific"
"Darkblotched rockfish",16,5.03952883232616,2,452.3,0,0,452.3,0,"species specific"
"Longspine thornyhead",17,4.98776375601328,0,3080.8,0,0,3080.8,0,"species specific"
"Bocaccio",18,4.7266565056,0,2022.8,0,0,2022.8,0,"species specific"
"Pacific ocean perch",19,4.64846838140373,2,240.5,0,0,240.5,0,"species specific"
"Quillback rockfish",20,4.55807323036602,2,207.8,0,0,207.8,0,"minor nearshore rockfish"
"Widow rockfish",21,4.53106236105999,2,1475.9,0,0,1475.9,-2,"species specific"
"Greenstriped rockfish",22,4.52711781924674,0,1466.6,0,0,1466.6,0,"minor shelf rockfish"
"Black rockfish",23,4.17932877487454,2,112.4,0,0,112.4,0,"species specific"
"Silvergray rockfish",24,3.72817488106013,0,404.3,0,0,404.3,0,"minor shelf rockfish"
"Rosethorn rockfish",25,3.44805283429147,0,257.1,0,0,257.1,0,"minor shelf rockfish"
"Bank rockfish",26,2.71747184508804,0,78.6,0,0,78.6,0,"minor slope rockfish"
"Arrowtooth flounder",27,2.67652051411378,0,73.5,0,0,73.5,0,"species specific"
"Blackgill rockfish",28,2.59212303196502,0,64,0,0,64,0,"minor slope rockfish"
"Yellowmouth rockfish",29,2.17132091031866,0,32,0,0,32,0,"minor slope rockfish"
"Aurora rockfish",30,1.84834859899641,0,18.6,0,0,18.6,0,"minor slope rockfish"
"Kelp greenling",31,1.63084335659778,2,0.9,0,0,0.9,0,"other groundfish"
"Redstripe rockfish",32,1.61785065205304,0,12.5,0,0,12.5,0,"minor shelf rockfish"
"Greenspotted rockfish",33,1.57714334755951,0,11.7,0,0,11.7,0,"minor shelf rockfish"
"Splitnose rockfish",34,1.41458194602726,0,8.8,0,0,8.8,0,"minor slope rockfish"
"Blue/Deacon rockfish",35,1.24177463911609,2,0,0,0,0,0,"minor nearshore rockfish"
"Cabezon",35,1.24177463911609,2,0,0,0,0,0,"other groundfish"
"China rockfish",35,1.24177463911609,2,0,0,0,0,0,"minor nearshore rockfish"
"Copper rockfish",35,1.24177463911609,2,0,0,0,0,0,"minor nearshore rockfish"
"English sole",39,1.22315027288201,1.5,0.6,0,0,0.6,0,"species specific"
"Pacific sanddab",40,0.931330979337068,1.5,0,0,0,0,0,"other flatfish"
"Sharpchin rockfish",41,0.351842263389898,0,0.8,0,0,0.8,0,"minor slope rockfish"
"Stripetail rockfish",42,0.00420774360369002,0,0,0,0,0,0,"minor shelf rockfish"
"California scorpionfish",43,0,0,0,0,0,0,0,"species specific"
"Chilipepper",43,0,0,6.3,0,0,6.3,-2,"species specific"
"Cowcod",43,0,0,0,0,0,0,0,"minor shelf rockfish"
"Flathead sole",43,0,0,0,0,0,0,0,"other flatfish"
"Pacific spiny dogfish",43,0,0,0,0,0,0,0,"species specific"
"Squarespot rockfish",43,0,0,0,0,0,0,0,"minor shelf rockfish"
"Starry rockfish",43,0,0,0,0,0,0,0,"minor shelf rockfish"
"Vermilion/Sunset rockfish",43,0,0,0,0,0,0,0,"minor shelf rockfish"
