"Species","Rank","Factor Score","Assessed Last Cycle","Pseudo Revenue Coastwide","Pseudo Revenue CA","Pseudo Revenue OR","Pseudo Revenue WA","Species Importance CA","Species Importance OR","Species Importance WA","Catch Coastwide","Catch CA","Catch OR","Catch WA","Management Group"
"Lingcod",1,10,0,6142.9,2380.8,1767.7,1994.5,2,2,2,3071.5,1190.4,883.8,997.2,"species specific"
"Black rockfish",2,9.74069657785213,0,4899.2,0,3346,1553.1,0,2,2,3190.9,741.3,1673,776.6,"species specific"
"Vermilion/Sunset rockfish",3,8.77599668135403,0,2111.2,2073.8,32.8,4.6,1.9,1.15,1,1124.6,1091.5,28.5,4.6,"minor shelf rockfish"
"Canary rockfish",4,8.25286914001881,0,1337.3,554.1,500.3,282.9,1.9,1.9,2,696.4,291.6,263.3,141.4,"species specific"
"Bocaccio",5,8.15748413477964,0,1230.5,1170.1,5,55.4,1.86,0.6,1.3,680,629.1,8.3,42.6,"species specific"
"California scorpionfish",6,7.97424727154975,0,1048.5,1048.5,0,0,1.75,0,0,599.2,599.2,0,0,"species specific"
"Blue/Deacon rockfish",7,7.19412509988108,0,530.4,0,498.6,31.9,0,1.9,1.8,1244.7,964.6,262.4,17.7,"minor nearshore rockfish"
"Greenspotted rockfish",8,6.33141696988011,0,249.4,249.4,0,0,1.37,0,0,184.2,182,2.2,0,"minor shelf rockfish"
"Yellowtail rockfish",9,6.08752956807153,-2,1494.6,444.4,393.6,656.6,1.15,1.5,2,977.1,386.4,262.4,328.3,"species specific"
"Starry rockfish",10,5.85408072333969,0,164.1,164.1,0,0,1.1,0,0,149.2,149.2,0,0,"minor shelf rockfish"
"Chilipepper",11,5.67629757519922,-2,1043.8,1043.8,0,0,1.86,0,0,562.1,561.2,0.9,0,"species specific"
"Pacific sanddab",12,5.29152913012245,0,100.1,94.5,0.7,4.9,0.82,0.5,0.75,123.1,115.3,1.4,6.5,"other flatfish"
"Copper rockfish",13,4.67155386307989,0,57.9,0,48.9,8.9,0,1.5,1,330.2,288.6,32.6,8.9,"minor nearshore rockfish"
"Squarespot rockfish",14,4.65986567877283,0,57.3,57.3,0,0,1.8,0,0,31.8,31.8,0,0,"minor shelf rockfish"
"Quillback rockfish",15,4.35208875056894,0,43.5,0,35.5,8,0,1.5,1,62.7,31,23.7,8,"minor nearshore rockfish"
"Petrale sole",16,4.35042700059293,0,43.5,26.3,15.4,1.8,0.62,0.7,0.75,66.8,42.4,22,2.4,"species specific"
"Bank rockfish",17,4.10181934699407,0,34.8,34.8,0,0,0.9,0,0,38.7,38.7,0,0,"minor slope rockfish"
"Cowcod",18,4.08726384501089,0,34.4,34.4,0,0,1.5,0,0,22.9,22.9,0,0,"minor shelf rockfish"
"Cabezon",19,3.74541511675772,0,25.2,0,0,25.2,0,0,0.75,209.6,106.2,69.8,33.7,"other groundfish"
"Greenstriped rockfish",20,3.72487637975048,0,24.8,24.8,0,0,1,0,0,25.9,24.8,1,0.2,"minor shelf rockfish"
"China rockfish",21,3.70939422739943,0,24.4,0,17,7.4,0,1.2,1,76.1,54.5,14.2,7.4,"minor nearshore rockfish"
"Yelloweye rockfish",22,3.14495789749593,-2,113.8,45.4,39.5,28.9,1.9,1.8,2,60.3,23.9,21.9,14.4,"species specific"
"Pacific cod",23,3.05279182976521,0,13.3,0,0,13.3,0,0,1.3,11.1,0,0.8,10.3,"species specific"
"Sablefish",24,2.7148741571957,-2,77.9,11.9,12.1,53.9,0.5,0.7,1.75,71.9,23.8,17.3,30.8,"species specific"
"Widow rockfish",25,2.68183013428962,-2,75.7,34.4,25.8,15.5,1.3,1,1.5,62.6,26.4,25.8,10.3,"species specific"
"Pacific spiny dogfish",26,2.25024492470452,0,6.1,6.1,0,0,0.3,0,0,20.7,20.4,0.3,0,"species specific"
"Kelp greenling",27,1.93319129186472,0,4.4,0,0,4.4,0,0,0.75,131.4,15.7,109.9,5.9,"other groundfish"
"Longnose skate",28,0.159504112237846,0,0.1,0,0.1,0,0,0.2,0,1.3,0.6,0.7,0,"species specific"
"English sole",29,0.0441109680339734,0,0,0,0,0,0.5,0.3,0.25,0.1,0,0.1,0,"species specific"
"Big skate",30,0.0279068324516363,0,0,0,0,0,0.5,0,0,0.3,0,0.3,0,"species specific"
"Dover sole",31,0.0186414039165394,0,0,0,0,0,0.5,0.3,0.25,0,0,0,0,"species specific"
"Arrowtooth flounder",32,0,0,0,0,0,0,0,0,0,1.7,0,0.2,1.5,"species specific"
"Aurora rockfish",32,0,0,0,0,0,0,0,0,0,0,0,0,0,"minor slope rockfish"
"Blackgill rockfish",32,0,0,0,0,0,0,0,0,0,1.4,1.4,0,0,"minor slope rockfish"
"Darkblotched rockfish",32,0,0,0,0,0,0,0,0,0,0,0,0,0,"species specific"
"Flathead sole",32,0,0,0,0,0,0,0,0,0.25,0,0,0,0,"other flatfish"
"Longspine thornyhead",32,0,0,0,0,0,0,0,0,0,0,0,0,0,"species specific"
"Pacific ocean perch",32,0,0,0,0,0,0,0,0,0,0,0,0,0,"species specific"
"Redbanded rockfish",32,0,0,0,0,0,0,0.8,0,0,0.8,0,0.1,0.7,"minor slope rockfish"
"Redstripe rockfish",32,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0,"minor shelf rockfish"
"Rex sole",32,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,"other flatfish"
"Rosethorn rockfish",32,0,0,0,0,0,0,0,0,0,1.4,1,0.3,0,"minor shelf rockfish"
