Species,Average Catches,Projected ACL Attainment,Choke Stock Score,Commercial Importance Score,Recreational Importance Score,Factor Score,Rank,Management Group
Quillback rockfish,14.5,1.329,5,1,0,10,1,minor nearshore rockfish
Stripetail rockfish,65.2,1.309,5,1,0,10,1,minor shelf rockfish
Copper rockfish,17.3,1.141,4,1,0,8.33,3,minor nearshore rockfish
Squarespot rockfish,6.7,1.035,4,1,0,8.33,3,minor shelf rockfish
Canary rockfish,613.3,0.998,3,1,0,6.67,5,species specific
Petrale sole,2785.2,1.143,4,0,0,6.67,5,species specific
Redbanded rockfish,40.6,0.937,3,1,0,6.67,5,minor slope rockfish
Vermilion/Sunset rockfish,318.7,1.122,4,0,0,6.67,5,minor shelf rockfish
Widow rockfish,10444.6,1.243,4,0,0,6.67,5,species specific
Black rockfish,594.6,0.966,3,0,0,5,10,species specific
Greenstriped rockfish,54.8,0.095,0,3,0,5,10,minor shelf rockfish
Yellowtail rockfish,3271.6,0.599,2,1,0,5,10,species specific
Aurora rockfish,24.5,0.309,0,2,0,3.33,13,minor slope rockfish
Bank rockfish,42,0.104,0,2,0,3.33,13,minor slope rockfish
Longspine thornyhead,86.9,0.036,0,2,0,3.33,13,species specific
Pacific sanddab,110,0.038,0,2,0,3.33,13,other flatfish
Pacific spiny dogfish,446.2,0.354,0,2,0,3.33,13,species specific
Rosethorn rockfish,6.3,0.539,0,2,0,3.33,13,minor shelf rockfish
Rougheye/Blackspotted rockfish,107.8,0.359,0,2,0,3.33,13,minor slope rockfish
Sablefish,5683.9,0.391,0,1,1,3.33,13,species specific
Shortraker rockfish,6.2,0.424,0,2,0,3.33,13,minor slope rockfish
Shortspine thornyhead,541.2,0.636,2,0,0,3.33,13,species specific
Silvergray rockfish,51.3,0.412,0,2,0,3.33,13,minor shelf rockfish
Yellowmouth rockfish,23.8,0.158,0,2,0,3.33,13,minor slope rockfish
Arrowtooth flounder,866.8,0.115,0,1,0,1.67,25,species specific
Big skate,152.9,0.134,0,1,0,1.67,25,species specific
Bocaccio,665.3,0.271,0,1,0,1.67,25,species specific
Cabezon,6.7,0.751,1,0,0,1.67,25,other groundfish
California scorpionfish,123.3,0.534,0,1,0,1.67,25,species specific
Chilipepper,993.4,0.316,0,1,0,1.67,25,species specific
Cowcod,10.6,0.144,0,1,0,1.67,25,minor shelf rockfish
English sole,236.1,0.075,0,1,0,1.67,25,species specific
Flathead sole,15.9,0.755,1,0,0,1.67,25,other flatfish
Greenspotted rockfish,48.4,0.611,0,1,0,1.67,25,minor shelf rockfish
Lingcod,1245.1,0.293,0,1,0,1.67,25,species specific
Longnose skate,596.6,0.39,0,1,0,1.67,25,species specific
Pacific cod,47,0.029,0,1,0,1.67,25,species specific
Pacific ocean perch,412,0.134,0,1,0,1.67,25,species specific
Sharpchin rockfish,41.3,0.155,0,1,0,1.67,25,minor slope rockfish
Starry rockfish,32.8,0.674,0,1,0,1.67,25,minor shelf rockfish
Yelloweye rockfish,27.6,0.244,0,1,0,1.67,25,species specific
Blackgill rockfish,48.9,0.294,0,0,0,0,42,minor slope rockfish
Blue/Deacon rockfish,56.1,0.699,0,0,0,0,42,minor nearshore rockfish
China rockfish,12.7,0.572,0,0,0,0,42,minor nearshore rockfish
Darkblotched rockfish,335.1,0.439,0,0,0,0,42,species specific
Dover sole,4119,0.111,0,0,0,0,42,species specific
Kelp greenling,42.2,0.319,0,0,0,0,42,other groundfish
Redstripe rockfish,43.4,0.206,0,0,0,0,42,minor shelf rockfish
Rex sole,349.7,0.118,0,0,0,0,42,other flatfish
Splitnose rockfish,206.7,0.593,0,0,0,0,42,minor slope rockfish
