Species,final_cw,final_c,final_o,final_w,final_twl,final_ntwl,modifier_c,modifier_o,modifier_w,modifier_twl,Commercial_Importance_Score
Arrowtooth flounder,0.388,0.229,0.617,0.472,0.613,0.131,0,1,0,0,1
Aurora rockfish,0.224,0.334,0.277,0.25,0.34,0.283,1,0,0,1,2
Bank rockfish,0.49,0.624,0.149,0.166,0.522,0.522,1,0,0,1,2
Big skate,0.551,0.374,0.66,0.639,0.682,0.37,0,1,0,0,1
Black rockfish,0.837,0.77,0.872,0.055,0.069,0.935,0,0,0,0,0
Blackgill rockfish,0.653,0.729,0.128,0.166,0.5,0.739,0,0,0,0,0
Blue/Deacon rockfish,0.653,0.708,0.638,0,0,0.782,0,0,0,0,0
Bocaccio,0.816,0.874,0.426,0.444,0.84,0.848,0,0,0,1,1
Cabezon,0.776,0.833,0.829,0,0,0.891,0,0,0,0,0
California scorpionfish,0.306,0.5,0,0,0.113,0.499,1,0,0,0,1
Canary rockfish,0.755,0.792,0.829,0.834,0.796,0.782,0,0,0,1,1
Chilipepper,0.918,0.979,0.574,0.166,0.909,0.869,0,0,0,1,1
China rockfish,0.612,0.624,0.681,0,0,0.739,0,0,0,0,0
Copper rockfish,0.571,0.687,0.511,0,0.091,0.696,1,0,0,0,1
Cowcod,0.02,0.25,0.021,0,0.182,0,1,0,0,0,1
Darkblotched rockfish,0.612,0.5,0.703,0.612,0.704,0.413,0,0,0,0,0
Dover sole,0.939,0.916,0.937,0.889,0.954,0.195,0,0,0,0,0
English sole,0.347,0.416,0.468,0.305,0.591,0.218,0,1,0,0,1
Flathead sole,0.082,0,0.212,0,0.273,0,0,0,0,0,0
Greenspotted rockfish,0.469,0.583,0.085,0,0.227,0.674,1,0,0,0,1
Greenstriped rockfish,0.204,0.312,0.277,0.361,0.318,0.326,1,0,1,1,3
Kelp greenling,0.694,0.52,0.745,0,0,0.804,0,0,0,0,0
Lingcod,0.918,0.874,0.915,0.889,0.863,0.956,0,0,0,1,1
Longnose skate,0.735,0.542,0.851,0.75,0.84,0.478,0,1,0,0,1
Longspine thornyhead,0.531,0.666,0.383,0.388,0.591,0.674,1,0,0,1,2
Pacific cod,0.429,0.229,0.511,0.806,0.658,0.174,0,0,1,0,1
Pacific ocean perch,0.714,0.124,0.829,0.667,0.749,0.087,0,1,0,0,1
Pacific sanddab,0.531,0.666,0.468,0,0.658,0.586,1,0,0,1,2
Pacific spiny dogfish,0.102,0.312,0.043,0.222,0,0.283,1,0,1,0,2
Petrale sole,0.98,0.979,0.979,0.945,1,0.478,0,0,0,0,0
Quillback rockfish,0.347,0.5,0.362,0.166,0.022,0.586,1,0,0,0,1
Redbanded rockfish,0.469,0.416,0.532,0.695,0.387,0.674,0,0,1,0,1
Redstripe rockfish,0.184,0,0.319,0.277,0.409,0,0,0,0,0,0
Rex sole,0.694,0.562,0.723,0.584,0.727,0.021,0,0,0,0,0
Rosethorn rockfish,0.041,0.166,0.128,0.416,0.227,0.108,1,0,1,0,2
Rougheye/Blackspotted rockfish,0.429,0.354,0.554,0.75,0.478,0.586,0,1,1,0,2
Sablefish,1,1,1,1,0.931,1,0,0,0,1,1
Sharpchin rockfish,0.143,0.042,0.298,0.222,0.364,0.044,0,1,0,0,1
Shortraker rockfish,0.184,0.104,0.234,0.499,0.296,0.239,0,0,1,1,2
Shortspine thornyhead,0.857,0.937,0.829,0.778,0.773,0.978,0,0,0,0,0
Silvergray rockfish,0.388,0.062,0.617,0.556,0.591,0.37,0,1,1,0,2
Splitnose rockfish,0.265,0.27,0.362,0.333,0.454,0.065,0,0,0,0,0
Squarespot rockfish,0,0.188,0,0,0,0.152,1,0,0,0,1
Starry rockfish,0.286,0.438,0,0,0.069,0.478,1,0,0,0,1
Stripetail rockfish,0.082,0.166,0.192,0,0.273,0,0,1,0,0,1
Vermilion/Sunset rockfish,0.816,0.896,0.171,0,0.16,0.913,0,0,0,0,0
Widow rockfish,0.959,0.812,0.979,0.972,0.978,0.609,0,0,0,0,0
Yelloweye rockfish,0.122,0.104,0.085,0.528,0.136,0.326,0,0,1,0,1
Yellowmouth rockfish,0.265,0.042,0.426,0.055,0.431,0.391,0,1,0,1,2
Yellowtail rockfish,0.878,0.75,0.894,0.917,0.909,0.826,0,0,0,1,1
