Species,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021,Fraction Unfished
Arrowtooth flounder ,,,F,,,,DM*,U,,,0.87
Aurora rockfish,,,,,,F,,,,,0.64
Big skate,,,,,,,,,F,,0.79
Black rockfish ,,,,,,,,,,,0.47
\hspace{3mm}North (WA),F,,F,,,,F,,,,0.43
\hspace{3mm}South (OR and CA),F,,F,,,,,,,,
\hspace{3mm}OR,,,,,,,F,,,,0.60
\hspace{3mm}CA,,,,,,,F,,,,0.33
Blackgill rockfish,,,,,,,,,,,
\hspace{3mm}S. of 40\textdegree 10' N. lat.,,F,,,F,,,U,,,0.39
Blue/Deacon rockfish,,,,,,,,,,,0.42
\hspace{3mm}OR,,,,,,,,F,,,0.69
\hspace{3mm}CA N. of 34\textdegree 47' N. lat.,,,F,,,,,F,,,0.37
Bocaccio,,,,,,,,,,,
\hspace{3mm}S. of 40\textdegree 10' N. lat.,F,U,F,F,U,U,F,U,,,0.49
Brown rockfish,,,,,,DM,,,,,0.42
Cabezon,,,,,,,,,,,0.56
\hspace{3mm}OR,F* ,,,F,,,,,F,,0.53
\hspace{3mm}CA,F,F,,F,,,,,,,
\hspace{3mm}N. CA,,F,,F,,,,,F,,0.65
\hspace{3mm}S. CA,,,,,,,,,F,,0.49
California scorpionfish,,F,,,,,,F,,,0.54
Canary rockfish,,F,F,U,U,,F,,,,0.56
Chilipepper rockfish ,,,,,,,,,,,
\hspace{3mm}S. of 40\textdegree 10' N. lat.,,,F,,,,U,,,,0.64
China rockfish,,,,,,,,,,,0.49
\hspace{3mm}N. of Cape Mendocino,,,,,,DM,,,,,
\hspace{3mm}S. of Cape Menocino,,,,,,DM,,,,,
\hspace{3mm}North (WA),,,,,,,F,,,,0.73
\hspace{3mm}Central,,,,,,,F,,,,0.62
\hspace{3mm}South,,,,,,,F,,,,0.30
Copper rockfish,,,,,,,,,,,
\hspace{3mm}N. of 34\textdegree 47' N. lat.,,,,,,DM,,,,,
\hspace{3mm}WA,,,,,,,,,,DM,0.42
\hspace{3mm}OR,,,,,,,,,,DM,0.74
\hspace{3mm}CA N. of 34\textdegree 47' N. lat.,,,,,,,,,,DM,0.39
\hspace{3mm}S. of 34\textdegree 47' N. lat.,,,,,,DM,,,,DM,0.18
Cowcod,,,,,,,,,,,
\hspace{3mm}S. of 34\textdegree 47' N. lat.,U,F,F,U,,F,,,F,,0.57
Darkblotched rockfish,U,F,F,U,U,F,F,U,,,0.40
Dover sole,,F,,,F,,,,,F,0.79
English sole,,F,U,,,DM,,,,,0.89
Gopher/Black and Yellow rockfish,,F,,,,,,,F,,0.44
Greenspotted rockfish,,,,,,,,,,,
\hspace{3mm}N. of 34\textdegree 47' N. lat.,,,,,F,,,,,,0.29
\hspace{3mm}S. of 34\textdegree 47' N. lat.,,,,,F,,,,,,0.36
Greenstriped rockfish,,,,F,,,,,,,0.81
Kelp greenling,,,,,,,,,,,
\hspace{3mm}OR,,F,,,,,F,,,,0.80
\hspace{3mm}CA,,F* ,,,,,,,,,
Lingcod,,,,,,,,,,,0.49
\hspace{3mm}OR and WA,F,F,,F,,,,F,,,0.58
\hspace{3mm}CA,F,F,,F,,,,F,,,0.33
\hspace{3mm}N. of 40\textdegree 10' N. lat.,,,,,,,,,,F,0.64
\hspace{3mm}S. of 40\textdegree 10' N. lat.,,,,,,,,,,F,0.39
Longnose skate,,,F,,,,,,F,,0.57
Longspine thornyhead,,F,,,,F,,,,,0.75
Pacific ocean perch,F,U,U,U,F,,,F,,,0.77
Pacific sanddabs,,,,,,F*,,,,,
Pacific spiny dogfish,,,,,F,,,,,F,0.34
Pacific hake/whiting,,F,F,F,F,F,F,F,,,0.72
Petrale sole,,F,,F,F,F,U,,U,,0.39
Quillback rockfish,,,,,,,,,,,
\hspace{3mm}WA,,,,,,,,,,DM,0.39
\hspace{3mm}OR,,,,,,,,,,DM,0.47
\hspace{3mm}CA,,,,,,,,,,DM,0.14
Rex sole,,,,,,DM,,,,,0.80
Rougheye/Blackspotted rockfish,,,,,,F,,,,,0.47
Sablefish,,F,F,,F,,U,,F,U,0.58
Sharpchin rockfish,,,,,,DM,,,,,0.68
Shortbelly rockfish,,,F,,,,,,,,0.73
Shortspine thornyhead,,F,,,,F,,,,,0.74
Splitnose rockfish,,,,F,,,,,,,0.66
Starry flounder,,,,,,,,,,,0.50
\hspace{3mm} WA and OR,,F,,,,,,DP,,,
\hspace{3mm}CA,,F,,,,,,DP,,,
Stripetail rockfish,,,,,,DM,,,,,0.78
Vermilion/Sunset rockfish,,,,,,,,,,,
\hspace{3mm}WA,,,,,,,,,,F,0.56
\hspace{3mm}OR,,,,,,,,,,F,0.73
\hspace{3mm}CA N. of 34\textdegree 47' N. lat. ,,,,,,,,,,F,0.43
\hspace{3mm}S. of 34\textdegree 47' N. lat.,,,,,,,,,,F,0.43
Widow rockfish,,F,,,F,,F,,U,,0.92
Yelloweye rockfish,,U,U,F,U,,,F,,,0.28
Yellowtail rockfish,,,,,,,,,,,
\hspace{3mm}N. of 40\textdegree 10' N. lat.,U,U,,,,DM,,F,,,0.75
\hspace{3mm}S. of 40\textdegree 10' N. lat.,,,,,,,,F*,,,
