Species,Choke Stock,Area or Fleet Importanc (Commercial),Area or Fleet Importance (Recreational),Rebuilding Impact on Landings,Industry Concern
Yelloweye rockfish,10,,,,
Black rockfish,2,2,,,
Bocaccio,,1,,2,
Brown rockfish,1,1,1,,
Canary rockfish,,1,,2,
Copper rockfish,2,1,,,
Cowcod ,,,,3,
Darkblotched rockfish,,1,,2,
Gopher/B&Y rockfish,2,1,,,
Pacific cod,,2,1,,
Pacific Ocean perch,,1,,2,
Pacific spiny dogfish,2,1,,,
Quillback rockfish,1,1,1,,
Rougheye/Blksptd rockfish,2,1,,,
Vermilion/Sunset rockfish,2,1,,,
Widow rockfish,,1,,2,
English sole,,2,,,
Flathead Sole,1,1,,,
Kelp greenling,,1,1,,
Longnose skate,,1,1,,
Petrale sole,1,1,,,
Redbanded rockfish,1,1,,,
Rex Sole,,1,,,
Rock Sole,1,1,,,
Sablefish ,1,1,,,
Sharpchin rockfish,1,1,,,
Speckled rockfish,,2,,,
Treefish rockfish,1,1,,,
Yellowtail rockfish,,2,,,
Arrowtooth flounder,,1,,,
Aurora rockfish,,1,,,
Bank rockfish,,1,,,
Big skate,,1,,,
Blackgill rockfish,,1,,,
California scorpionfish,,,1,,
Chilipepper rockfish ,,1,,,
China rockfish,1,1,1,,
Dover sole,,1,,,
Grass rockfish,,1,,,
Greenstriped rockfish,,1,,,
Kelp rockfish,,1,,,
Longspine thornyhead,,1,,,
Pacific sanddab,,1,,,
Sand Sole,,1,,,
Splitnose rockfish,,1,,,
Squarespot rockfish,1,,,,
Starry flounder,,1,,,
Starry rockfish,1,,,,
Blue/Deacon rockfish,,1,,,
Cabezon,,,,,
Flag rockfish,,,,,
Greenspotted rockfish,,,,,
Honeycomb rockfish,,,,,
Lingcod ,,,,,
Olive rockfish,,,,,
Shortraker rockfish,,,,,
Shortspine thornyhead ,,,,,
