Species,Maximum Age,Source
arrowtooth flounder,25,Sampson et al. 2017
aurora rockfish,154,Hamel et al. 2013
bank rockfish,85,Fish Base and Caillet 1996
big skate,12,Taylor et al. 2019
black rockfish,28,Dick et al. 2023; Cope et al. 2023; Cope et al. 2013
blackgill rockfish,86,Field and He 2017
blue and deacon rockfish,39.5,Dick et al. 2017
bocaccio,30,He and Field 2017
brown rockfish,39,Cope et al. 2013
cabezon,23,Cope et al. 2019
California scorpionfish,23,Monk et al. 2017
canary rockfish,69,Langseth et al. 2023
chilipepper,34,Field et al. 2015
China rockfish,77,Dick et al. 2015
copper rockfish,50,Wetzel et al. 2023; Monk et al. 2023; Wetzel et al. 2021; Wetzel et al. 2021
cowcod,61,Dick et al. 2019
curlfin sole,10,Beamish and McFarlane
darkblotched rockfish,100,Wallace and Gertseva 2017
Dover sole,50,Wetzel and Berger 2021
English sole,21,Cope et al. 2013
flag rockfish,38,Love 2011
flathead sole,27,Fish Base
gopher and black and yellow rockfish,28,Monk and He 2019
grass rockfish,23,Fish Base
greenspotted rockfish,83,Dick et al. 2011
greenstriped rockfish,68,Hicks et al. 2009
honeycomb rockfish,31,Love 2011
kelp greenling,15,Berget et al. 2015
kelp rockfish,20,Fish Base
leopard shark,30,Fish Base
lingcod,22.5,Johnson et al. 2021; Taylor et al. 2021
longnose skate,25,Gertseva et al. 2019
longspine thornyhead,49,Stephens and Taylor 2013
olive rockfish,30,Fish Base
Pacific cod,25,Fish Base
Pacific ocean perch,100,Wetzel et al. 2017
Pacific sanddab,9,He et al. 2013
Pacific spiny dogfish,83,Gertseva et al. 2021
petrale sole,38,Taylor et al. 2021
quillback rockfish,95,Langseth et al. 2021; Langseth et al. 2021; Langseth et al. 2021
redbanded rockfish,106,Fish Base
redstripe rockfish,55,Fish Base
rex sole,29,Min et al. 2023
rock sole,26,Fish Base
rosethorn rockfish,87,Fish Base
rosy rockfish,30,Fields 2016
rougheye and blackspotted rockfish,129,Hicks et al. 2013
sablefish,76,Johnson et al. 2023
sand sole,17,Fish Base
sharpchin rockfish,68,Cope et al. 2013
shortraker rockfish,157,Fish Base
shortspine thornyhead,135,Zahner et al. 2023
silvergray rockfish,82,Fish Base
speckled rockfish,37,Fish Base
splitnose rockfish,112,Gertseva et al. 2009
squarespot rockfish,41,Cope et al. 2021
starry flounder,42,Fish Base
starry rockfish,32,Fish Base
stripetail rockfish,38,Fish Base
treefish,25,Fish Base
vermilion and sunset rockfish,59,Dick et al. 2021; Monk et al. 2021; Cope et al. 2021; Cope et al. 2021
widow rockfish,37,Adams et al. 2019
yelloweye rockfish,123,Gertseva et al. 2017
yellowmouth rockfish,99,Fish Base
yellowtail rockfish,31,Stephens and Taylor 2017
