Species,CA,OR,WA
Arrowtooth flounder,,0.5,
Aurora rockfish,,,
Bank rockfish,0.9,,
Big skate,0.5,,0.5
Black rockfish,2,1.9,1.8
Blackgill rockfish,,,
Blue/Deacon rockfish,1.82,1.9,1.8
Bocaccio,1.86,0.6,1.3
Brown rockfish,1.45,0.5,
Cabezon,1.14,1.5,0.75
California scorpionfish,2,,
Canary rockfish,1.78,1.8,1.9
Chilipepper rockfish ,1.6,,
China rockfish,1.06,1,1
Copper rockfish,1.65,1,1
Cowcod ,1.9,,
Curlfin sole,,,
Darkblotched rockfish,,,
Dover sole,0.5,0.7,0.5
English sole,0.5,0.7,0.5
Flag rockfish,1.48,,
Flathead Sole,,0.7,0.5
Gopher/Black and yellow rockfish,1.13,,
Grass rockfish,0.91,,
Greenspotted rockfish,1.37,,
Greenstriped rockfish,1,,
Honeycomb rockfish,1.6,,
Kelp greenling,1.19,0.8,0.8
Kelp rockfish,1.14,,0.75
Leopard shark,0.8,,
Lingcod ,1.97,2,2
Longnose skate,,0.5,
Longspine thornyhead,,,
Olive rockfish,1.16,0.8,
Pacific cod,,0.5,0.6
Pacific Ocean perch,,,
Pacific sanddab,0.82,0.5,
Pacific spiny dogfish,0.3,,
Petrale sole,0.62,0.7,0.5
Quillback rockfish,0.82,1,1
Redbanded rockfish,0.8,,
Redstripe rockfish,,,
Rex sole,0.5,0.7,0.5
Rock sole,0.65,0.7,0.5
Rosethorn rockfish,,,
Rosy rockfish,1,,
Rougheye/Blackspotted rockfish,,,
Sablefish ,0.5,0.7,0.7
Sand sole,0.65,0.7,0.5
Sharpchin rockfish,,,
Shortraker rockfish,,,
Shortspine thornyhead ,,,
Silvergray rockfish,,,
Speckled rockfish,1.6,,
Splitnose rockfish,,,
Squarespot rockfish,1.8,,
Starry flounder,0.65,0.7,0.5
Starry rockfish,1.1,,
Stripetail rockfish,,,
Treefish rockfish,0.7,,
Vermilion/Sunset rockfish,1.9,1.15,1.15
Widow rockfish,1.15,0.7,0.5
Yelloweye rockfish,1.9,1.8,2
Yellowmouth rockfish,,,
Yellowtail rockfish,1,1.3,1.5
