Species,California,Oregon,Washington
Arrowtooth flounder,,0.50,
Bank rockfish,0.90,,
Black rockfish,2.00,1.90,1.80
Blue rockfish,1.82,1.90,1.80
Bocaccio,1.86,0.60,1.30
Brown rockfish,1.45,,
Cabezon,1.14,1.50,0.75
Calico rockfish,0.80,,
California scorpionfish,2.00,,
Canary rockfish,1.78,1.80,1.90
Chilipepper rockfish ,1.60,,
China rockfish,1.06,1.00,1.00
Copper rockfish,1.65,1.00,1.00
Cowcod ,1.90,,
Curlfin sole,0.50,0.70,0.50
Dover sole,0.50,0.70,0.50
English sole,0.50,0.70,0.50
Flag rockfish,1.48,,
Flathead Sole,,0.70,0.50
Gopher rockfish,1.13,,
Grass rockfish,0.91,,
Greenblotched rockfish,0.70,,
Greenspotted rockfish,1.37,,
Greenstriped rockfish,1.00,,
Honeycomb rockfish,1.60,,
Kelp greenling,1.19,0.80,0.80
Kelp rockfish,1.14,,0.75
Leopard shark,0.75,,2.00
Lingcod,1.97,2.00,
Olive fockfish,1.16,,
Pacific cod,,0.50,0.60
Pacific sanddab,0.82,,
Pacific spiny dogfish,0.30,,
Petrale sole,0.62,0.70,0.50
Quillback rockfish,0.82,1.00,1.00
Rex sole,0.50,0.70,0.50
Rock sole,0.65,0.70,0.50
Rosethorn rockfish,0.50,,
Rosy rockfish,0.80,,
Sablefish,0.50,0.70,0.70
Sand sole,0.65,0.70,0.50
Speckled rockfish,1.60,,
Squarespot rockfish,1.80,,
Starry flounder,0.65,0.70,0.50
Starry rockfish,1.10,,
Tiger rockfish,0.60,0.60,0.90
Treefish rockfish,0.70,,
Vermilion rockfish,1.90,1.15,1.15
Widow rockfish,1.15,0.70,
Yelloweye rockfish,1.90,1.80,2.00
Yellowtail rockfish,1.00,1.30,1.50
