Species,Rank,Score,Recruit_Var,MeanAge,Trans_MeanAge,Recruit_Adj,Mortality_Adj,Eco_Adj,Total_Adj,MeanAge_Adj,MeanAge_Adj_Round,Last_Assess,Years_Since_Assess,Beyond_Target_Freq,Adj_Negative,Greater_Than_10,Less_Than_6_Update,Greater_Than_Target_Freq
Arrowtooth flounder,37,2,0.8,8.05,6.895945697,0,1,-1,0,6.895945697,6,2017,6,0,0,0,0,1
Aurora rockfish,39,1,0.5,31.13,11.52920773,0,0,1,1,10,10,2013,10,0,0,0,0,1
Bank rockfish,4,6,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,4,1,NA,0,NA
Big skate,53,-1,0.3,4.3,5.433872094,1,0,-1,0,5.433872094,6,2019,4,0,0,0,-1,0
Black rockfish,34,3,0.5,8.010164041,6.882958233,0,0,-1,-1,5.882958233,6,2015,8,2,0,0,0,1
Blackgill rockfish,44,0,0.5,30.184,11.39479665,0,0,1,1,10,10,2017,6,0,0,0,0,0
Blue/Deacon rockfish,44,0,0.5,10.57,7.647859371,0,-1,0,-1,6.647859371,6,2017,6,0,0,0,0,1
Bocaccio,34,3,1,2.97,4.721052708,-1,0,-1,-2,2.721052708,4,2017,6,2,0,0,0,1
Brown rockfish,23,4,NA,NA,NA,0,-1,0,-1,NA,NA,NA,NA,4,1,NA,0,NA
Cabezon,39,1,0.5,5.2,5.840804485,0,0,-1,-1,4.840804485,4,2019,4,0,0,0,0,1
California scorpionfish,39,1,0.6,8.241,6.957669027,0,0,-1,-1,5.957669027,6,2017,6,0,0,0,0,1
Canary rockfish,39,1,0.5,10.148,7.530364054,0,0,0,0,7.530364054,8,2015,8,0,0,0,0,1
Chilipepper rockfish ,34,3,1,9.149,7.239580088,-1,0,-1,-2,5.239580088,6,2015,8,2,0,0,0,1
China rockfish,44,0,0.5,19.34570281,9.622623925,0,-1,0,-1,8.622623925,8,2015,8,0,0,0,0,1
Copper rockfish,60,-3,0.6,7.367941685,6.667805865,0,-1,0,-1,5.667805865,6,2021,2,-2,0,0,0,0
Cowcod ,44,0,NA,14.2,8.555806802,0,1,1,2,10,10,2019,4,0,0,0,-1,0
Curlfin sole,11,5,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,4,1,NA,0,NA
Darkblotched rockfish,44,0,0.75,9.361,7.302874739,0,0,0,0,7.302874739,8,2017,6,0,0,0,0,0
Dover sole,56,-2,0.35,13.6,8.416590228,0,1,-1,0,8.416590228,8,2021,2,-2,0,0,-1,0
