Species,Score_CW,Rank_CW,Score_CA,Rank_CA,Score_OR,Rank_OR,Score_WA,Rank_WA,Score_TWL,Rank_TWL,Score_NTWL,Rank_NTWL
arrowtooth flounder,4.021227298,43,3.166131907,43,3.963383332,43,2.951031259,43,4.017290056,18,2.242215757,43
aurora rockfish,3.477775063,47,3.169918856,37,2.997670023,18,1.871785705,55,3.304154084,37,2.761019685,47
bank rockfish,3.780462421,18,3.471904264,47,1.850015082,37,0,37,3.702412714,43,2.339398344,29
big skate,5.632130233,29,2.702351126,18,5.525528545,29,1.493125457,29,5.605093798,55,2.137226531,5
black rockfish,6.843079398,37,5.405547891,31,6.414184351,55,0,18,1.740041873,57,6.704173955,54
blackgill rockfish,4.110198467,22,4.438155569,29,2.146948315,57,0,57,3.117690685,29,4.271115921,22
blue rockfish,3.751329955,55,4.962880393,13,2.748556542,5,0,47,0,47,5.138467216,23
bocaccio,5.633560331,57,5.721308234,8,2.792109975,47,2.364966448,30,5.393494243,40,4.359830065,7
brown rockfish,5.071188352,10,4.672656954,5,1.384715865,40,0,42,0,34,4.673277946,10
cabezon,6.966709488,5,4.663624762,54,5.859406088,10,0,34,0,4,5.086035366,31
California scorpionfish,3.579521569,40,3.507018837,22,0,4,0,12,0,8,3.507018837,9
canary rockfish,4.773765818,34,4.507375573,23,4.183995936,34,3.100041795,17,4.585823211,17,3.877346729,14
chilipepper,4.780718618,8,6.499971365,55,2.684055568,17,0,1,4.705746437,30,4.188817672,8
China rockfish,4.547753118,4,3.585357255,7,4.3325982,30,0,36,0,31,4.641771582,27
copper rockfish,4.623644361,23,4.19217898,9,2.974940714,27,0,49,1.384715865,13,4.259904294,6
cowcod,2.045241636,17,1.493125457,10,0,33,0,39,2.045241636,12,0,15
darkblotched rockfish,5.255537374,30,3.459676138,19,5.088027034,14,3.064559213,31,5.203460928,35,3.043000446,13
Dover sole,8.197417097,31,7.091583682,35,7.635438993,12,5.029315004,8,8.196312999,33,2.434847013,38
English sole,3.936750654,9,4.659759876,12,3.534670411,31,2.153939982,40,3.919264996,1,2.764422355,35
flag rockfish,2.077565096,54,2.120515862,6,0,1,0,19,0,19,2.120515862,53
flathead sole,2.67764068,35,0,15,2.67764068,35,0,33,2.67764068,3,0,12
gopher rockfish,7.350757583,13,5.365617478,30,2.045241636,19,0,46,0,44,5.366409077,42
grass rockfish,5.429294878,12,5.315879081,53,1.971265398,42,0,2,0,2,5.319325235,37
greenspotted rockfish,2.748520885,27,2.974940714,38,1.276064241,38,0,25,1.555085831,46,2.951577103,57
greenstriped rockfish,2.390647633,15,2.927513335,14,2.081565697,39,1.678273741,45,2.299042414,51,2.492449978,11
honeycomb rockfish,1.504829912,14,1.535940175,57,0,44,0,4,0,6,1.535940175,30
kelp greenling,4.686328475,33,3.43496593,11,4.416902212,46,0,3,0,42,4.31861607,55
kelp rockfish,3.405849327,6,2.486434974,40,0,2,0,5,0,49,2.486434974,39
lingcod,8.084079106,53,6.648878908,3,7.229799021,15,5.071656507,6,7.014712175,36,7.101686447,32
longnose skate,5.247640627,38,4.156856281,17,4.969762828,54,3.67073913,7,5.188671228,21,3.440508266,17
longspine thornyhead,5.189881358,1,6.736420328,27,4.06060553,8,2.492449978,9,5.056339508,39,4.956371986,24
olive rockfish,3.009296844,19,3.071509867,44,0,7,0,10,0,45,3.071509867,19
Pacific cod,4.405459086,3,0,2,4.387384943,49,2.05199163,11,4.387384943,25,2.05199163,2
Pacific ocean perch,5.6763095,7,1.22522112,1,5.434666489,13,3.138533758,13,5.673961167,41,1.388033262,52
Pacific sanddab,4.913200131,42,4.553009191,32,3.871284656,21,0,14,4.457301684,16,4.116723307,25
Pacific spiny dogfish,2.808204534,39,2.197204458,24,1.555085831,45,2.935520194,15,2.727244929,5,2.165774781,28
petrale sole,7.979912604,44,8.409799787,49,7.518472222,51,6.343571718,16,7.977010688,54,3.577307424,18
quillback rockfish,4.044795271,11,3.785042209,25,3.402627017,6,0,20,0,24,4.125352523,48
redbanded rockfish,3.746388102,52,2.734420964,51,3.292634984,25,2.666488799,21,2.583971172,56,3.369059036,3
rex sole,6.349216453,2,3.505863428,39,6.060298169,22,2.186974282,22,6.346396944,15,1.572480515,1
rock sole,2.469888493,46,2.317064368,4,1.871785705,23,0,23,2.120515862,7,2.136018759,36
rougheye rockfish,3.748448009,28,2.305905334,52,3.447479879,41,3.334755333,24,3.113755019,9,3.759660506,4
sablefish,10,51,11.15258095,28,8.84817709,3,10,26,7.499574477,10,13.15195338,41
sand sole,3.69491571,32,3.356932671,48,3.241260361,36,0,27,3.681227552,11,1.871785705,20
sharpchin rockfish,2.506144717,49,0,41,2.434847013,56,1.637733894,28,2.506144717,14,0,33
shortraker rockfish,3.42951302,36,0,42,3.198874851,9,2.018162216,32,3.245296853,20,1.970232691,46
shortspine thornyhead,8.741208547,24,8.247683004,36,6.396404925,24,3.884111841,35,7.000158643,22,8.049821996,44
speckled rockfish,2.188053506,21,2.374357267,20,0,11,0,38,0,23,2.374357267,50
splitnose rockfish,2.954661748,45,2.97372513,50,2.748556542,16,2.87771777,41,2.946614404,26,1.678273741,49
squarespot rockfish,1.704797558,41,1.740041873,26,0,20,0,44,0,27,1.740041873,51
starry flounder,3.148977011,25,2.808204534,56,2.305905334,26,0,48,3.124945712,28,1.637733894,40
starry rockfish,3.48561839,48,2.544670254,16,0,28,0,50,0,32,2.544670254,26
treefish,4.087759258,20,4.00496224,34,0,32,0,51,0,38,4.00496224,56
vermilion rockfish,5.002571105,16,5.386281706,21,2.839016687,48,0,52,1.637733894,48,5.426541827,34
widow rockfish,7.27569277,50,5.127335493,33,7.078532018,50,6.76938922,53,7.272261094,50,3.417774469,16
yelloweye rockfish,1.704797558,56,1.535940175,45,1.504829912,52,0,54,1.504829912,52,1.535940175,21
yellowtail rockfish,7.080578485,26,3.551734562,46,6.820269028,53,4.658269264,56,7.035002137,53,3.570999453,45
