"Species","CW","C","O","W","TWL","NTWL"
"arrowtooth flounder",25,42,17,18,17,51
"aurora rockfish",41,38,33,29,28,36
"bank rockfish",33,25,44,33,21,35
"big skate",23,32,14,28,16,38
"black rockfish",8,13,7,36,44,4
"blackgill rockfish",26,17,41,31,24,12
"blue rockfish",30,21,27,40,52,13
"bocaccio",16,11,38,22,13,16
"brown rockfish",18,12,52,40,50,8
"cabezon",11,10,11,40,51,6
"California scorpionfish",40,30,57,40,49,26
"canary rockfish",17,16,15,11,12,17
"chilipepper",14,9,30,34,10,24
"China rockfish",31,29,21,40,56,14
"copper rockfish",24,15,32,40,47,11
"cowcod",62,54,55,40,43,65
"curlfin sole",59,50,54,40,39,55
"darkblotched rockfish",20,31,13,15,14,32
"Dover sole",3,3,3,5,2,37
"English sole",27,24,20,26,18,41
"flag rockfish",61,51,57,40,53,49
"flathead sole",54,64,34,40,32,63
"gopher rockfish",9,6,46,40,54,5
"grass rockfish",19,14,45,40,56,9
"greenspotted rockfish",44,35,50,37,42,27
"greenstriped rockfish",52,44,40,30,34,47
"honeycomb rockfish",65,57,57,40,56,59
"kelp greenling",21,26,18,40,56,10
"kelp rockfish",47,39,57,40,56,31
"leopard shark",50,41,57,40,46,34
"lingcod",6,5,6,6,6,3
"longnose skate",12,20,9,7,9,25
"longspine thornyhead",10,7,12,23,8,15
"olive rockfish",49,40,53,40,55,33
"Pacific cod",29,62,19,21,19,43
"Pacific ocean perch",22,56,16,9,15,56
"Pacific sanddab",28,19,23,40,20,19
"Pacific spiny dogfish",43,48,48,13,29,45
"petrale sole",2,4,2,3,1,28
"quillback rockfish",35,28,25,38,48,21
"redbanded rockfish",34,36,24,14,35,23
"redstripe rockfish",51,65,35,24,31,64
"rex sole",15,22,10,17,11,53
"rock sole",58,49,47,32,40,48
"rosethorn rockfish",48,53,43,16,30,50
"rosy rockfish",57,47,56,40,56,42
"rougheye rockfish",32,46,22,10,25,20
"sablefish",1,1,1,1,3,1
"sand sole",38,34,31,40,23,54
"sharpchin rockfish",55,63,39,27,36,61
"shortraker rockfish",46,59,36,20,33,44
"shortspine thornyhead",5,2,8,8,7,2
"silvergray rockfish",37,60,26,12,22,46
"speckled rockfish",56,45,57,40,56,39
"splitnose rockfish",39,43,28,19,26,58
"squarespot rockfish",63,55,57,40,56,57
"starry flounder",42,33,42,39,27,52
"starry rockfish",45,37,57,40,56,29
"stripetail rockfish",60,52,49,40,38,62
"treefish",36,27,57,40,56,22
"vermilion rockfish",13,8,29,40,41,7
"widow rockfish",4,18,4,2,4,30
"yelloweye rockfish",64,58,51,35,45,60
"yellowmouth rockfish",53,61,37,25,37,40
"yellowtail rockfish",7,23,5,4,5,18
