"Species","CW","C","O","W","TWL","NTWL"
"arrowtooth flounder",4.02157160021343,2.8381609864101,4.47958722465763,2.95498872098568,5.03567540599392,1.68488107199497
"aurora rockfish",2.83099677080689,3.10254606532652,2.75709854495684,2.08242694702505,3.36916119422625,2.29875115607339
"bank rockfish",3.3451928131788,4.0951889591536,1.82143836909794,1.23502242980915,4.10599906240642,2.34397831259756
"big skate",4.11200832462043,3.31941125988918,4.55883931000308,2.09494277586664,5.12967332621336,2.23254586564187
"black rockfish",5.45877761717485,5.4051897340791,5.78250835889233,0.720980295163287,1.65370344999352,5.68491871424364
"blackgill rockfish",3.94676450984222,4.82253742547617,2.338773029015,1.39057978103492,3.75062499218147,3.93562062425498
"blue rockfish",3.7520027942518,4.44927758505935,3.10544741994092,0,0.873585387332406,3.90763960987692
"bocaccio",4.58681225558254,5.60513961744789,2.56802590188909,2.60468215290268,5.50479774672777,3.6226838945559
"brown rockfish",4.48696084531498,5.5102602852642,1.35805468031922,0,1.12428984172334,4.67304770479396
"cabezon",5.08601575887291,5.72797793641161,4.83433399185374,0,1.06805010500397,5.29702485912573
"California scorpionfish",2.85549916820028,3.5071446851882,0,0,1.14757225626695,2.97303040701114
"canary rockfish",4.5835735000413,4.89867951434782,4.54049690106849,3.75357603558542,5.51951030557543,3.57377415015432
"chilipepper",4.78055992266786,5.82813046137753,3.03148457939252,0.996727555714552,5.89943965460257,3.18544756438026
"China rockfish",3.70303381113222,3.50997367569556,3.98613072060807,0,0,3.85669956417645
"copper rockfish",4.09089394390181,4.94393490731695,2.97193904677114,0,1.42076386249634,4.26004119202965
"cowcod",1.4588663345573,1.78877212518139,0.710674674109282,0,1.82883914635287,0
"curlfin sole",1.83547018170195,2.24108842926473,1.11776098726158,0,2.18166813206596,1.49586993648388
"darkblotched rockfish",4.19256302509967,3.45947478984442,4.58673912111422,3.41309379046302,5.2034727048717,2.58277409569229
"Dover sole",7.87082702523892,7.70677688025226,8.28553370818018,6.09584321976591,9.86555977752948,2.24479793721562
"English sole",3.93680683546759,4.17789781827101,3.9945036714544,2.1827115947024,4.9133148437638,2.10121282190266
"flag rockfish",1.70557448772431,2.09479889415796,0,0,0.706820348755055,1.77566801994974
"flathead sole",2.37152542874398,0.67684426060944,2.68009286393217,0,2.97253838201052,0.679814696728568
"gopher rockfish",5.36636461048112,6.59005879047268,1.68013284016487,0,0.482752719465853,5.58905358945235
"grass rockfish",4.33105173145892,5.31598531927398,1.77698140926263,0,0,4.51077850678227
"greenspotted rockfish",2.63708960107954,3.22973320638726,1.40872555958769,0.609448415176656,1.9070517216366,2.72279413376692
"greenstriped rockfish",2.39534367903006,2.61511022455109,2.35084380932973,1.67208824039987,2.8784236258744,1.88287715026828
"honeycomb rockfish",1.25785174650565,1.54490259238716,0,0,0,1.31004914617932
"kelp greenling",4.146153608756,4.04972552922561,4.41675205121954,0,0,4.31820761879804
"kelp rockfish",2.48969461104655,3.05786088825125,0,0,0,2.59301011308342
"leopard shark",2.4373026971592,2.99351276152682,0,0,1.48346081361557,2.53013060136479
"lingcod",6.44870879474683,6.64891436508516,6.51801508735991,5.65603308159324,7.01462186723715,6.02200519988879
"longnose skate",5.03858512291919,4.51661685587298,5.39280484685537,4.44799194798012,6.24524967454999,3.171791793132
"longspine thornyhead",5.18996204956937,6.03999984541123,4.58941698543228,2.46702404607968,6.33874343139443,3.76859310192649
"olive rockfish",2.45029794336294,3.00544082181663,1.14566504671831,0,0.476331695366853,2.5519639664431
"Pacific cod",3.8980288686238,0.998362127846942,4.3867533486884,2.71175041148394,4.86617782320577,2.05841824546821
"Pacific ocean perch",4.14398303428108,1.61246703279802,4.48365851842518,4.29851224500583,5.19267328156903,1.45597688690549
"Pacific sanddab",3.91948544200391,4.55342652390097,3.48995067603674,0,4.45628604158435,3.49012442386895
"Pacific spiny dogfish",2.69928467730006,2.37456926551245,1.63609594069795,3.56137918374639,3.28463238043229,2.00365763802062
"petrale sole",7.97989801682746,7.54071305560767,8.4972179929854,6.34346768546537,10,2.71807575679937
"quillback rockfish",3.29252882427804,3.70804118833855,3.12967997438533,0.593608139176119,1.20200573761649,3.42850800355394
"redbanded rockfish",3.31422171486436,3.22163967788551,3.29303571163595,3.50691227411924,2.86444266230148,3.36859880309344
"redstripe rockfish",2.42869922797673,0,2.66842578887531,2.35058107655859,3.04439281510805,0.624775031365158
"rex sole",4.63505561479273,4.30682018950497,5.00057987084639,2.99104435462784,5.80808189755383,1.62099278267149
"rock sole",1.96060355787318,2.30710310665556,1.63840503737918,1.38049013982371,2.1502833223522,1.81781114523595
"rosethorn rockfish",2.48444275737327,1.92149433878825,2.22745857193548,3.14674001394934,3.04494573277591,1.76108149881511
"rosy rockfish",1.9805269322886,2.43215198780116,0.618556510139166,0,0,2.06271337129966
"rougheye rockfish",3.59970955586021,2.49456699189416,3.74137642402597,4.0398770986933,3.74578857921697,3.46421790491302
"sablefish",10,10,10,10,9.40149443796857,10
"sand sole",3.00923117022131,3.28662070873476,2.97900123582569,0,3.75955816118015,1.53181506523879
"sharpchin rockfish",2.21746507769248,0.958297275596065,2.44261449144697,2.10350277201623,2.77586537382406,0.965792281147998
"shortraker rockfish",2.5002826914698,1.25730611724407,2.63623493829837,2.77868331896968,2.96784495893717,2.04561176029912
"shortspine thornyhead",6.97290829343093,8.24762014633647,5.76679479135044,4.33314246890524,7.00022670702675,6.82610632637383
"silvergray rockfish",3.10252534053924,1.13002793898228,3.12489031157936,3.7118648275407,3.8472868191052,1.93908657739115
"speckled rockfish",2.09156993486781,2.56888128788857,0,0,0,2.17836435411397
"splitnose rockfish",2.95433279793638,2.66161831920643,3.10490472439106,2.88761846160204,3.69636410532232,1.36066061787798
"squarespot rockfish",1.39637880762115,1.71504252853436,0,0,0,1.45432470062463
"starry flounder",2.78814751699576,3.30886910932157,2.29922405734912,0.542597025416154,3.46561048410134,1.66945535732668
"starry rockfish",2.54740068063665,3.12873589935958,0,0,0,2.65311082638758
"stripetail rockfish",1.77685915257771,2.05473788119539,1.60150491321073,0,2.22520226455057,0.729093361998236
"treefish",3.26046286769911,4.00452402334666,0,0,0,3.39576313969002
"vermilion rockfish",4.80346679662924,5.85347028528048,3.0776190076356,0,2.00943962587528,5.00077034629241
"widow rockfish",7.2757007785492,4.59728796608737,7.99999228957547,6.76941358218534,9.11656157622802,2.59612127318988
"yelloweye rockfish",1.34108996896523,1.40251848401898,1.36455722111112,0.992388899048604,1.54685242442368,1.1680945320732
"yellowmouth rockfish",2.38056585190641,1.10584116915744,2.61896813107612,2.27231593648718,2.66379254597031,2.16265387882422
"yellowtail rockfish",6.26500976554851,4.18944834263989,6.82018867375067,6.12648011418499,7.80336919242337,3.57199984620995
