"Species","CW","C","O","W"
"arrowtooth flounder",41,38,21,15
"aurora rockfish",44,38,28,15
"bank rockfish",35,34,28,15
"big skate",44,38,28,15
"black rockfish",2,5,1,1
"blackgill rockfish",44,38,28,15
"blue rockfish",4,3,4,6
"bocaccio",6,6,18,9
"brown rockfish",10,8,20,15
"cabezon",11,14,6,5
"California scorpionfish",7,7,28,15
"canary rockfish",9,9,3,4
"chilipepper",27,27,28,15
"China rockfish",18,18,13,11
"copper rockfish",5,4,9,8
"cowcod",39,36,28,15
"curlfin sole",44,38,28,15
"darkblotched rockfish",44,38,28,15
"Dover sole",42,38,23,15
"English sole",43,38,27,15
"flag rockfish",21,19,28,15
"flathead sole",44,38,28,15
"gopher rockfish",12,11,28,15
"grass rockfish",29,28,28,15
"greenspotted rockfish",17,17,28,15
"greenstriped rockfish",33,32,28,15
"honeycomb rockfish",26,26,28,15
"kelp greenling",23,25,11,12
"kelp rockfish",24,22,28,15
"leopard shark",44,38,28,15
"lingcod",1,1,2,2
"longnose skate",40,38,19,15
"longspine thornyhead",44,38,28,15
"olive rockfish",13,12,26,15
"Pacific cod",37,38,22,13
"Pacific ocean perch",44,38,28,15
"Pacific sanddab",16,16,16,15
"Pacific spiny dogfish",32,30,28,15
"petrale sole",28,29,12,15
"quillback rockfish",20,23,8,7
"redbanded rockfish",44,38,28,15
"redstripe rockfish",44,38,28,15
"rex sole",44,38,28,15
"rock sole",34,33,25,15
"rosethorn rockfish",44,38,28,15
"rosy rockfish",44,38,28,15
"rougheye rockfish",44,38,28,15
"sablefish",31,38,14,15
"sand sole",38,37,17,15
"sharpchin rockfish",44,38,28,15
"shortraker rockfish",44,38,28,15
"shortspine thornyhead",44,38,28,15
"silvergray rockfish",44,38,28,15
"speckled rockfish",22,20,28,15
"splitnose rockfish",44,38,28,15
"squarespot rockfish",15,15,28,15
"starry flounder",36,35,24,15
"starry rockfish",14,13,28,15
"stripetail rockfish",44,38,28,15
"treefish",25,24,28,15
"vermilion rockfish",3,2,7,10
"widow rockfish",19,21,10,15
"yelloweye rockfish",30,31,15,14
"yellowmouth rockfish",44,38,28,15
"yellowtail rockfish",8,10,5,3
