"Species","CW","C","O","W"
"arrowtooth flounder",1.50669214566906,0,1.74468327120347,0
"aurora rockfish",0,0,0,0
"bank rockfish",2.45913449595103,2.73072449864434,0,0
"big skate",0,0,0,0
"black rockfish",9.74657313146161,7.77294064520554,10,10
"blackgill rockfish",0,0,0,0
"blue rockfish",7.57540082450661,8.23187857441368,5.8591115838409,3.89164737505562
"bocaccio",6.91039845579116,7.66308573067116,2.23172178884174,3.5198368374046
"brown rockfish",6.18953369268568,6.87256091569871,1.78803498610713,0
"cabezon",5.56555339439117,5.55024705576408,5.39873415682367,4.38110941013881
"California scorpionfish",6.76174369568953,7.50851943794659,0,0
"canary rockfish",6.66506445516548,6.59803202161711,6.55660079217618,5.13874707270173
"chilipepper",3.60940887807625,4.00803667518617,0,0
"China rockfish",4.44116243896227,4.7727087744458,3.36854246892051,3.45560507687838
"copper rockfish",7.35859666364668,8.1344398599733,4.19911594585014,3.57365869677319
"cowcod",1.87637053109506,2.08359932579206,0,0
"curlfin sole",0,0,0,0
"darkblotched rockfish",0,0,0,0
"Dover sole",1.36370106615046,0,1.57910588694183,0
"English sole",0.833512397740919,0,0.965170715769221,0
"flag rockfish",4.27828688068906,4.75078643179625,0,0
"flathead sole",0,0,0,0
"gopher rockfish",5.54072562841111,6.15265055192412,0,0
"grass rockfish",3.29908707799384,3.66344253308304,0,0
"greenspotted rockfish",4.48929367820778,4.98509709366268,0,0
"greenstriped rockfish",2.61690882250999,2.90592362642731,0,0
"honeycomb rockfish",3.73835901202432,4.15122822914763,0,0
"kelp greenling",4.09448469339734,4.24381844372173,3.62584493258864,3.34257263566688
"kelp rockfish",3.96081300457187,4.39825032910638,0,0
"leopard shark",0,0,0,0
"lingcod",10,10,8.90890319057004,9.441449181575
"longnose skate",1.60860657356836,0,1.86269569860032,0
"longspine thornyhead",0,0,0,0
"olive rockfish",5.48918762893775,6.09526046054944,1.29649124915944,0
"Pacific cod",2.14756261474513,0,1.73664783259332,2.61956385839323
"Pacific ocean perch",0,0,0,0
"Pacific sanddab",4.66760519534406,5.165249221912,2.6479082321483,0
"Pacific spiny dogfish",2.74610005273965,3.04938290365636,0,0
"petrale sole",3.43932683231908,3.32475133990652,3.56101135216991,0
"quillback rockfish",4.36623281491635,4.32698870979529,4.21230151892829,3.64973176158046
"redbanded rockfish",0,0,0,0
"redstripe rockfish",0,0,0,0
"rex sole",0,0,0,0
"rock sole",2.59208208817345,2.86895759961775,1.45648457383721,0
"rosethorn rockfish",0,0,0,0
"rosy rockfish",0,0,0,0
"rougheye rockfish",0,0,0,0
"sablefish",2.90487272778004,0,3.3637149219242,0
"sand sole",2.14225979836799,1.8873290466273,2.34030678556882,0
"sharpchin rockfish",0,0,0,0
"shortraker rockfish",0,0,0,0
"shortspine thornyhead",0,0,0,0
"silvergray rockfish",0,0,0,0
"speckled rockfish",4.24738015717544,4.71646632965851,0,0
"splitnose rockfish",0,0,0,0
"squarespot rockfish",4.95543655372536,5.50272139283795,0,0
"starry flounder",2.44701199694823,2.69935769398313,1.55811649598336,0
"starry rockfish",5.14422964771402,5.71236504095013,0,0
"stripetail rockfish",0,0,0,0
"treefish",3.83453238707827,4.2580231164584,0,0
"vermilion rockfish",8.4004106646926,9.29824968146324,4.59514735575778,3.48986926317858
"widow rockfish",4.37907940094007,4.68028323215212,3.76545548532379,0
"yelloweye rockfish",2.92281347891172,3.02158470489774,2.66055125111647,2.23965211224829
"yellowmouth rockfish",0,0,0,0
"yellowtail rockfish",6.69258677984706,6.20149571683388,5.82792232228809,7.19641350891114
