Species,Rank,Factor_Score,Fishing_Mortality,OFL,OFL_Attain_Percent,Total_Below_OFL,ABC,ABC_Attain_Percent
quillback rockfish,1,10,27,13,212,-14,11,254
squarespot rockfish,1,10,16,11,145,-5,9,174
vermilion rockfish,1,10,386,279,138,-107,233,166
Pacific spiny dogfish,4,9,2721,2486,109,-235,2071,131
blue rockfish,5,8,407,432,94,24,379,108
rougheye rockfish,6,7,384,443,87,59,405,95
petrale sole,6,7,2567,3057,84,489,2922,88
redbanded rockfish,6,7,46,56,84,9,46,100
treefish,6,7,11,13,82,2,11,99
widow rockfish,6,7,9523,12442,77,2919,11895,80
flathead sole,11,5,21,35,60,14,24,86
sablefish,11,5,5065,8489,60,3424,7750,65
starry rockfish,11,5,36,63,58,26,52,70
China rockfish,11,5,25,43,58,18,39,63
shortraker rockfish,11,5,11,19,57,8,16,68
brown rockfish,11,5,95,180,53,85,164,58
gopher rockfish,11,5,89,168,53,80,141,63
copper rockfish,11,5,170,334,51,164,305,56
yellowtail rockfish,19,3,3714,7532,49,3818,6977,53
darkblotched rockfish,19,3,367,779,47,411,744,49
black rockfish,19,3,781,1671,47,890,1553,50
aurora rockfish,19,3,38,92,42,54,88,44
canary rockfish,19,3,557,1515,37,958,1448,38
flag rockfish,19,3,8,23,36,15,20,43
big skate,19,3,179,541,33,362,494,36
honeycomb rockfish,19,3,3,10,33,7,8,40
California scorpionfish,19,3,100,315,32,215,291,34
yelloweye rockfish,19,3,22,74,30,52,66,33
longnose skate,19,3,681,2500,27,1818,2390,29
blackgill rockfish,19,3,45,169,26,125,154,29
cabezon,19,3,93,365,26,272,346,27
lingcod,32,2,1328,5560,24,4232,5241,25
shortspine thornyhead,32,2,710,3089,23,2380,2573,28
olive rockfish,32,2,50,225,22,175,188,27
chilipepper,32,2,607,2794,22,2187,2671,23
bocaccio,32,2,486,2388,20,1902,2248,22
speckled rockfish,32,2,8,40,20,32,33,24
greenspotted rockfish,32,2,18,94,19,76,85,21
grass rockfish,32,2,11,60,19,49,50,23
kelp rockfish,32,2,4,28,16,23,23,19
rex sole,32,2,475,3192,15,2717,2659,18
Pacific ocean perch,32,2,435,3456,13,3022,3170,14
kelp greenling,43,1,38,466,8,428,426,9
splitnose rockfish,43,1,203,2847,7,2644,2722,7
longspine thornyhead,43,1,278,4117,7,3840,3430,8
Dover sole,43,1,5715,91144,6,85430,87134,7
bank rockfish,43,1,33,520,6,488,434,8
sharpchin rockfish,43,1,25,441,6,416,403,6
arrowtooth flounder,43,1,923,16833,5,15910,14022,7
rock sole,43,1,3,67,5,63,46,8
sand sole,43,1,31,773,4,742,537,6
cowcod,43,1,5,148,3,143,133,4
Pacific sanddab,43,1,142,4801,3,4659,3332,4
greenstriped rockfish,43,1,45,1551,3,1506,1416,3
English sole,43,1,242,10136,2,9894,9254,3
Pacific cod,43,1,54,3200,2,3146,2221,2
starry flounder,43,1,10,1050,1,1040,729,1
