Species,Rank,Factor_Score,Fishing_Mortality,OFL,OFL_Attain_Percent,Total_Below_OFL,ABC,ABC_Attain_Percent
Bronzespotted Rockfish,12,1,0.064350706,3.630991,0.017722629,3.566640294,3.028246494,0.021250154
Butter Sole,12,1,0.039419248,4.630857341,0.0085123,4.591438093,3.213814994,0.012265562
Calico Rockfish,NA,NA,0.911371015,NA,NA,NA,NA,NA
chameleon rockfish,NA,NA,0,NA,NA,NA,NA,NA
Curlfin sole,4,3,2.562597294,8.242203843,0.310911662,5.679606549,5.720089467,0.447999513
dusky rockfish,NA,NA,0,NA,NA,NA,NA,NA
dwarf-red rockfish,NA,NA,0,NA,NA,NA,NA,NA
Freckled Rockfish,NA,NA,0.049777534,NA,NA,NA,NA,NA
Greenblotched Rockfish,12,1,1.826950936,24.40524767,0.074858939,22.57829673,20.35397656,0.089758919
Halfbanded Rockfish,NA,NA,20.66953793,NA,NA,NA,NA,NA
Harlequin Rockfish,NA,NA,0.007811821,NA,NA,NA,NA,NA
Leopard Shark,7,2,19.86761801,167.1,0.118896577,147.232382,139.3614,0.142561843
Mexican Rockfish,7,2,0.796413352,5.068797,0.157120783,4.272383648,4.227376698,0.188394224
Pink Rockfish,7,2,0.351580777,2.514968667,0.139795291,2.16338789,2.097483868,0.167620253
Pinkrose Rockfish,NA,NA,0.007533111,NA,NA,NA,NA,NA
Pygmy Rockfish,NA,NA,0.031929557,NA,NA,NA,NA,NA
Redstripe Rockfish,7,2,42.22175928,270.402136,0.156144326,228.1803767,225.5153814,0.187223413
Rosethorn Rockfish,1,10,21.40609152,15.01839733,1.425324623,-6.387694188,12.52534338,1.70902233
Rosy Rockfish,4,3,12.54300124,47.52813833,0.263906849,34.98513709,39.63846737,0.316435071
Silvergray Rockfish,4,3,71.23364943,159.9386567,0.445381066,88.70500723,133.3888397,0.534030055
Stripetail Rockfish,1,10,79.09945417,64.01244267,1.235688733,-15.0870115,53.38637718,1.481641167
Swordspine Rockfish,12,1,0.291759408,14.21069267,0.020530977,13.91893326,11.85171769,0.024617479
Tiger Rockfish,1,10,2.697934188,1.019209333,2.647085441,-1.678724855,0.850020584,3.173963359
Yellowmouth Rockfish,7,2,24.12870574,193.2633187,0.124848864,169.1346129,161.1816077,0.149698877
