"Species","Rank","Factor_Score","Initial_Factor_Score","Pseudo_CW","Pseudo_CA","Pseudo_OR","Pseudo_WA","Rel_Weight_CA","Rel_Weight_OR","Rel_Weight_WA","Ret_Catch_CW","Ret_Catch_CA","Ret_Catch_OR","Ret_Catch_WA"
"lingcod",1,10,4.96360832585347,7337.39147731922,4100.04224911929,1709.78939576993,1527.55983243,1.97,2,2,3699.91433446509,2081.23972036512,854.894697884966,763.779916215
"black rockfish",2,9.74657313146161,4.83781715438626,6362.21082679276,1011.41449437425,3248.60451332832,2102.1918190902,2,1.9,1.8,3383.38344024629,505.707247187124,1709.79184912017,1167.884343939
"vermilion rockfish",3,8.4004106646926,4.16963483158565,2786.05067210333,2736.77733654524,43.2098378415927,6.0634977165,1.9,1.15,1.15,1483.25550324366,1440.40912449749,37.5737720361675,5.27260671
"blue rockfish",4,7.57540082450661,3.76013226041982,1568.81920003265,1391.03509043839,166.676103008262,11.108006586,1.82,1.9,1.8,858.200374257557,764.304994746366,87.7242647411905,6.17111477
"copper rockfish",5,7.35859666364668,3.65251916662742,1335.10034693511,1301.99292550646,26.1896343596507,6.917787069,1.65,1,1,822.194042947718,789.086621519067,26.1896343596507,6.917787069
"bocaccio",6,6.91039845579116,3.430051131013,941.655807133061,934.515647902291,0.781682653069213,6.3584765777,1.86,0.6,1.3,508.621707940186,502.427767689404,1.30280442178202,4.891135829
"California scorpionfish",7,6.76174369568953,3.35626473052118,834.494318414954,834.494318414954,NA,NA,2,NA,NA,417.247159207477,417.247159207477,0,0
"yellowtail rockfish",8,6.69258677984706,3.32193794619457,788.16932957694,288.397055055816,161.806319780124,337.965954741,1,1.3,1.5,638.17409138068,288.397055055816,124.466399830864,225.310636494
"canary rockfish",9,6.66506445516548,3.30827694220094,770.330314883034,406.944425607056,311.347518845577,52.0383704304,1.78,1.8,1.9,428.979923643288,228.620463824189,172.970843803099,27.388616016
"brown rockfish",10,6.18953369268568,3.07224209701652,510.605812185803,510.377657052247,0.228155133556054,NA,1.45,0.5,NA,352.440901337627,351.984591070515,0.456310267112107,0
"cabezon",11,5.56555339439117,2.7625227166382,282.94316743981,155.704510563638,105.786404788923,21.45225208725,1.14,1.5,0.75,235.710176645473,136.582904003191,70.5242698592818,28.603002783
"gopher rockfish",12,5.54072562841111,2.75019918604511,276.001816263082,276.001816263082,NA,NA,1.13,NA,NA,244.338443583795,244.249394923081,0.0890486607142857,0
"olive rockfish",13,5.48918762893775,2.72461774171673,262.038035450886,261.99978478422,0.0382506666666667,NA,1.16,0.8,NA,225.909696768005,225.861883434672,0.0478133333333333,0
"starry rockfish",14,5.14422964771401,2.55339411094955,182.71148471643,182.71148471643,NA,NA,1.1,NA,NA,166.101349742209,166.101349742209,0,0
"squarespot rockfish",15,4.95543655372536,2.45968461363098,148.440482735503,148.440482735503,NA,NA,1.8,NA,NA,82.466934853057,82.466934853057,0,0
"Pacific sanddab",16,4.66760519534407,2.31681640094067,106.457352328648,104.436186212474,2.02116611617449,NA,0.82,0.5,NA,131.403534930488,127.361202698139,4.04233223234898,0
"greenspotted rockfish",17,4.48929367820778,2.22830954783535,85.7427364348114,85.7427364348114,NA,NA,1.37,NA,NA,62.7672071853302,62.585939003512,0.181268181818182,0
"China rockfish",18,4.44116243896227,2.20441908585008,80.7587878193041,67.3207711189768,7.69794442932724,5.740072271,1.06,1,1,76.9481781333242,63.510161432997,7.69794442932724,5.740072271
"widow rockfish",19,4.37907940094007,2.17360349740795,74.6833900539105,60.3902549844919,14.2931350694186,0,1.15,0.7,0.5,72.9320295887897,52.513265203906,20.4187643848837,0
"quillback rockfish",20,4.36623281491635,2.16722695527334,73.4743106976318,39.0479394255603,26.6497900230715,7.776581249,0.82,1,1,82.0458095959255,47.619438323854,26.6497900230715,7.776581249
"flag rockfish",21,4.27828688068906,2.12357403813779,65.6207441698026,65.6207441698026,NA,NA,1.48,NA,NA,44.3763549409863,44.338340655272,0.0380142857142857,0
"speckled rockfish",22,4.24738015717544,2.10823315112208,63.0300990719072,63.0300990719072,NA,NA,1.6,NA,NA,39.397261919942,39.393811919942,0.00345,0
"kelp greenling",23,4.09448469339734,2.03234183142266,51.4153847944027,35.0566595896374,11.5869817871653,4.7717434176,1.19,0.8,0.8,49.9077843123746,29.459377806418,14.4837272339566,5.964679272
"kelp rockfish",24,3.96081300457187,1.96599244066416,42.7572969825478,42.7572969825478,NA,0,1.14,NA,0.75,37.528842561884,37.506400861884,0.0224417,0
"treefish",25,3.83453238707827,1.90331168822565,35.7135365830957,35.7135365830957,NA,NA,0.7,NA,NA,51.019337975851,51.019337975851,0,0
"honeycomb rockfish",26,3.73835901202432,1.85557499171133,31.0132501296656,31.0132501296656,NA,NA,1.6,NA,NA,19.383281331041,19.383281331041,0,0
"chilipepper",27,3.60940887807625,1.79156919586287,25.5183893178752,25.5183893178752,NA,NA,1.6,NA,NA,16.0128348792276,15.948993323672,0.0638415555555556,0
"petrale sole",28,3.43932683231908,1.70714713002302,19.516151434966,9.03430670646174,10.4818447285043,0,0.62,0.7,0.5,29.5455263276402,14.571462429777,14.9740638978632,0
"grass rockfish",29,3.29908707799384,1.63753760880458,15.486439230383,15.486439230383,NA,NA,0.91,NA,NA,17.1810044951127,17.018065088333,0.162939406779661,0
"yelloweye rockfish",30,2.92281347891172,1.4507701318843,7.90260058863711,5.3113355578947,2.07536641274241,0.515898618,1.9,1.8,2,4.20637041672545,2.795439767313,1.15298134041245,0.257949309
"sablefish",31,2.90487272778004,1.44186504571537,7.63685456534666,0,7.63685456534666,0,0.5,0.7,0.7,10.9097922362095,0,10.9097922362095,0
"Pacific spiny dogfish",32,2.74610005273965,1.36305650854052,5.588551107906,5.588551107906,NA,NA,0.3,NA,NA,18.69548686102,18.62850369302,0.066983168,0
"greenstriped rockfish",33,2.61690882250999,1.298931041941,4.275962276684,4.275962276684,NA,NA,1,NA,NA,4.58359049365519,4.275962276684,0.307628216971186,0
"rock sole",34,2.59208208817345,1.28660802341534,4.05540985395953,3.9823975206262,0.0730123333333333,0,0.65,0.7,0.5,6.23106874968133,6.126765416348,0.104303333333333,0
"bank rockfish",35,2.45913449595103,1.2206180458496,3.0269051558361,3.0269051558361,NA,NA,0.9,NA,NA,3.363227950929,3.363227950929,0,0
"starry flounder",36,2.44701199694823,1.21460091215155,2.94493403914695,2.83873003914695,0.106204,0,0.65,0.7,0.5,4.518996983303,4.367276983303,0.15172,0
"Pacific cod",37,2.14756261474513,1.06596596748406,1.42603328828571,NA,0.194031964285714,1.232001324,NA,0.5,0.6,2.44139946857143,0,0.388063928571429,2.05333554
"sand sole",38,2.14225979836799,1.06333385713205,1.40658078166702,0.3887940194112,1.01778676225582,0,0.65,0.7,0.5,2.05212573418488,0.598144645248,1.45398108893688,0
"cowcod",39,1.87637053109506,0.931356839052955,0.673632174601,0.673632174601,NA,NA,1.9,NA,NA,0.36914804979,0.35454324979,0.0146048,0
"longnose skate",40,1.60860657356836,0.798449298158653,0.286371428571429,NA,0.286371428571429,NA,NA,0.5,NA,0.572742857142857,0,0.572742857142857,0
"arrowtooth flounder",41,1.50669214566906,0.747862967874098,0.1990725,NA,0.1990725,NA,NA,0.5,NA,0.398145,0,0.398145,0
"Dover sole",42,1.36370106615046,0.676887796591967,0.1144,0,0.1144,0,0.5,0.7,0.5,0.163428571428571,0,0.163428571428571,0
"English sole",43,0.833512397740919,0.413722907712891,0.0074235,0,0.0074235,0,0.5,0.7,0.5,0.010605,0,0.010605,0
"aurora rockfish",44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
"big skate",44,0,0,0,0,NA,0,0.5,NA,0.5,0.326056666666667,0,0.326056666666667,0
"blackgill rockfish",44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
"curlfin sole",44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
"darkblotched rockfish",44,0,0,0,NA,NA,NA,NA,NA,NA,0.00441,0,0.00441,0
"flathead sole",44,0,0,0,NA,0,0,NA,0.7,0.5,0,0,0,0
"leopard shark",44,0,0,0,NA,NA,NA,NA,NA,NA,17.69494642203,17.69494642203,0,0
"longspine thornyhead",44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
"Pacific ocean perch",44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
"redbanded rockfish",44,0,0,0,0,NA,NA,0.8,NA,NA,0.0131235555555556,0,0.0131235555555556,0
"redstripe rockfish",44,0,0,0,NA,NA,NA,NA,NA,NA,0.114082914979757,0,0.114082914979757,0
"rex sole",44,0,0,0,0,0,0,0.5,0.7,0.5,0,0,0,0
"rosethorn rockfish",44,0,0,0,NA,NA,NA,NA,NA,NA,0.224329668874001,0,0.224329668874001,0
"rosy rockfish",44,0,0,0,NA,NA,NA,NA,NA,NA,41.4811696774403,41.436582750611,0.0445869268292683,0
"rougheye rockfish",44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
"sharpchin rockfish",44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
"shortraker rockfish",44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
"shortspine thornyhead",44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
"silvergray rockfish",44,0,0,0,NA,NA,NA,NA,NA,NA,0.620077750516136,0,0.620077750516136,0
"splitnose rockfish",44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
"stripetail rockfish",44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
"yellowmouth rockfish",44,0,0,0,NA,NA,NA,NA,NA,NA,0.105066666666667,0,0.105066666666667,0
